"Lastname"|"Firstname"|"SSN"|"Test1"|"Test2"|"Test3"|"Test4"|"Final"|"Grade"|"Classroom"|"Gender"|"Sport"
"Alfalfa"|"Aloysius"|"123-45-6789"|40.0|90.0|100.0|83.0|49.0|"D-"|"1"|"M"|"Athletics"
"Alfred"|"University"|"123-12-1234"|41.0|97.0|96.0|97.0|50.0|"D+"|"1"|"F"|"Athletics"
"Gerty"|"Gramma"|"567-89-0123"|41.0|80.0|60.0|40.0|44.0|"C"|"1"|"F"|"Athletics"
"Android"|"Electric"|"087-65-4321"|42.0|23.0|36.0|45.0|49.0|"B-"|"2"|"F"|"Athletics"
"Bumpkin"|"Fred"|"456-78-9012"|43.0|78.0|88.0|77.0|45.0|"A-"|"1"|"M"|"Athletics"
"Rubble"|"Betty"|"234-56-7890"|44.0|90.0|80.0|90.0|48.0|"C-"|"2"|"F"|"Boxing"
"Noshow"|"Cecil"|"345-67-8901"|45.0|11.0|-1.0|4.0|47.0|"F"|"2"|"F"|"Boxing"
"Buff"|"Bif"|"632-79-9939"|46.0|20.0|30.0|40.0|50.0|"B+"|"2"|"F"|"Golf"
"Airpump"|"Andrew"|"223-45-6789"|49.01|90.0|100.0|83.0|83.0|"A"|"1"|"M"|"Golf"
"Backus"|"Jim"|"143-12-1234"|48.0|1.0|97.0|96.0|97.0|"A+"|"2"|"M"|"Jujitsu"
"Carnivore"|"Art"|"565-89-0123"|44.0|1.0|80.0|60.0|46.0|"D+"|"1"|"F"|"Jujitsu"
"Dandy"|"Jim"|"087-75-4321"|47.0|1.0|23.0|36.0|45.0|"C+"|"2"|"M"|"Jujitsu"
"Elephant"|"Ima"|"456-71-9012"|45.0|1.0|78.0|88.0|77.0|"B-"|"1"|"F"|"Jujitsu"
"Franklin"|"Benny"|"234-56-2890"|50.0|1.0|90.0|80.0|90.0|"B-"|"2"|"F"|"Karate"
"George"|"Boy"|"345-67-3901"|40.0|1.0|11.0|-1.0|40.0|"B"|"1"|"M"|"Karate"
"Heffalump"|"Harvey"|"632-79-9439"|30.0|1.0|20.0|30.0|40.0|"C"|"Classroom"|"F"|"Swimming"
